name,model,linear_train,linear_test,linear_holdout,rf_train,rf_test,rf_holdout
mba,truth,0.2855503519108188,0.3134760510466955,0.3626044976177042,0.2421874448390105,0.3344314417501472,0.3841585066933059
mba,rf,0.25297115089204797,0.2867503665055048,0.408931019262569,0.2388275162874845,0.2906231823821172,0.4645779737691228
mba,pandas,0.2529720227871874,0.28675114567689786,0.40893237299132,0.23553734380180663,0.28904176137958865,0.47054420868485536
mba,tfdv,0.25297115089204797,0.2867503665055048,0.408931019262569,0.2388275162874845,0.2906231823821172,0.4645779737691228
mba,autogluon,0.2529720227871874,0.28675114567689786,0.40893237299132,0.23553734380180663,0.28904176137958865,0.47054420868485536
vineyard,truth,3.5628300379556705,3.688467434818336,3.2550592393489213,2.4962591191928594,2.732833150402302,2.7344215105512104
vineyard,rf,2.8738931456001056,3.112049907124173,2.966308912492049,2.5136158403074766,2.7290613421732597,2.7667313892915013
vineyard,pandas,5.301003217405508,5.338571045257669,4.982082097648353,2.7258148904996635,3.012008616765357,3.1384623838463055
vineyard,tfdv,5.301003217405508,5.338571045257669,4.982082097648353,2.7258148904996635,3.012008616765357,3.1384623838463055
vineyard,autogluon,5.301003217405508,5.338571045257669,4.982082097648353,2.7258148904996635,3.012008616765357,3.1384623838463055
apnea,truth,2674.518311451117,2725.6027060379147,2224.5370175955154,1045.064670235235,1383.838951106319,1376.2205711212196
apnea,rf,2677.701169884258,2602.094710596459,2213.7603676929366,1162.1631408161188,1238.4264864316835,1246.486134316749
apnea,pandas,2675.7037986218274,2636.492970442968,2223.6595232413283,929.2318497078493,1247.0483188691885,1361.2907562675286
apnea,tfdv,2679.3635421933727,2608.1854530588903,2206.2422789396924,944.2223104967367,1317.0504076494124,1355.710462391026
apnea,autogluon,2679.3635421933727,2608.1854530588903,2206.2422789396924,944.2223104967367,1317.0504076494124,1355.710462391026
accident,truth,238.38854803767163,357.10091477643795,435.3912922517201,381.4373986743064,593.5273728782371,598.551082163269
accident,rf,238.38854803767163,357.10091477643795,435.3912922517201,381.4373986743064,593.5273728782371,598.551082163269
accident,pandas,238.38854803767163,357.10091477643795,435.3912922517201,381.4373986743064,593.5273728782371,598.551082163269
accident,tfdv,415.14653323509776,954.2888642742221,850.5495306643891,678.4240156657639,1152.439381251121,1064.498044672105
accident,autogluon,238.38854803767163,357.10091477643795,435.3912922517201,381.4373986743064,593.5273728782371,598.551082163269
