name,model,linear_train,linear_test,linear_holdout,rf_train,rf_test,rf_holdout
cancer,truth,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,rf,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,pandas,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,tfdv,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,autogluon,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
mfeat,truth,0.9920312500000001,0.971875,0.962,0.99125,0.9556250000000001,0.9410000000000001
mfeat,rf,0.9920312500000001,0.971875,0.962,0.99125,0.9556250000000001,0.9410000000000001
mfeat,pandas,0.9920312500000001,0.971875,0.962,0.99125,0.9556250000000001,0.9410000000000001
mfeat,tfdv,0.9920312500000001,0.971875,0.962,0.99125,0.9556250000000001,0.9410000000000001
mfeat,autogluon,0.9920312500000001,0.971875,0.962,0.99125,0.9556250000000001,0.9410000000000001
nursery,truth,0.9174624444375643,0.9157982900877842,0.920601851851852,0.9959008545651932,0.9799384658610663,0.9824074074074074
nursery,rf,0.9174624444375643,0.9157982900877842,0.920601851851852,0.9959008545651932,0.9799384658610663,0.9824074074074074
nursery,pandas,0.917679433908155,0.9163768356622619,0.9208333333333334,0.9952497960354793,0.9799391636325238,0.9787808641975311
nursery,tfdv,0.9174624444375643,0.9157982900877842,0.920601851851852,0.9959008545651932,0.9799384658610663,0.9824074074074074
nursery,autogluon,0.9174624444375643,0.9157982900877842,0.920601851851852,0.9959008545651932,0.9799384658610663,0.9824074074074074
audiology,truth,0.9277777777777778,0.7611111111111111,0.7347826086956522,0.913888888888889,0.75,0.7217391304347825
audiology,rf,0.9277777777777778,0.7611111111111111,0.7347826086956522,0.913888888888889,0.75,0.7217391304347825
audiology,pandas,0.9111111111111111,0.7111111111111111,0.717391304347826,0.9125,0.7055555555555556,0.7130434782608696
audiology,tfdv,0.9277777777777778,0.7611111111111111,0.7347826086956522,0.913888888888889,0.75,0.7217391304347825
audiology,autogluon,0.9263888888888889,0.7444444444444444,0.7,0.9347222222222221,0.7333333333333333,0.7086956521739131
hayes,truth,0.8904761904761905,0.761904761904762,0.7555555555555555,0.9119047619047619,0.7523809523809524,0.7851851851851852
hayes,rf,0.7190476190476189,0.6190476190476191,0.5185185185185185,0.9,0.6857142857142857,0.6444444444444444
hayes,pandas,0.611904761904762,0.5238095238095237,0.5851851851851851,0.9119047619047619,0.7047619047619047,0.711111111111111
hayes,tfdv,0.611904761904762,0.5238095238095237,0.5851851851851851,0.9119047619047619,0.7047619047619047,0.711111111111111
hayes,autogluon,0.611904761904762,0.5238095238095237,0.5851851851851851,0.9119047619047619,0.7047619047619047,0.711111111111111
supreme,truth,0.9932890902858122,0.9929036123951379,0.994327990135635,0.9959889933962758,0.9932122543704465,0.9940813810110974
supreme,rf,0.9924405629115425,0.9922863284445205,0.991861898890259,0.9962203558488427,0.9925949704198291,0.9955610357583231
supreme,pandas,0.7598730020996701,0.7587090300367135,0.7644882860665845,0.9959116543590769,0.9929031368296904,0.9940813810110974
supreme,tfdv,0.7597958713630716,0.758400388061405,0.763501849568434,0.9959889338818186,0.9919781620346593,0.9950678175092479
supreme,autogluon,0.7598730020996701,0.7587090300367135,0.7644882860665845,0.9959116543590769,0.9929031368296904,0.9940813810110974
flare,truth,0.8837202757844379,0.8837104072398191,0.9076923076923077,0.9079452183293467,0.8874811463046758,0.8923076923076924
flare,rf,0.8837202757844379,0.8837104072398191,0.9076923076923077,0.928258524459453,0.8717948717948719,0.876923076923077
flare,pandas,0.8837202757844379,0.8837104072398191,0.9076923076923077,0.9127714459922143,0.8757164404223229,0.8861538461538462
flare,tfdv,0.8837202757844379,0.8837104072398191,0.9076923076923077,0.9215093100698842,0.883634992458522,0.9015384615384615
flare,autogluon,0.8837202757844379,0.8837104072398191,0.9076923076923077,0.9243890999484078,0.883634992458522,0.8953846153846154
kropt,truth,0.37180315023592747,0.360897910876617,0.35067712045616534,0.9242113885987214,0.6926569463322704,0.687847469707769
kropt,rf,0.351608415732532,0.3438777459180274,0.33581610833927295,0.8950054072583999,0.5735163971824174,0.5638987883107627
kropt,pandas,0.32233557768831134,0.3153625280890623,0.3095509622238061,0.9093187846971951,0.6301017261843072,0.6263007840342124
kropt,tfdv,0.322023687470452,0.31478333450474505,0.309016393442623,0.9165144600815422,0.6581716090312266,0.6537419814682822
kropt,autogluon,0.322023687470452,0.31478333450474505,0.309016393442623,0.9165144600815422,0.6581716090312266,0.6537419814682822
boxing,truth,0.8142857142857143,0.7714285714285714,0.874074074074074,0.830952380952381,0.7428571428571429,0.7777777777777777
boxing,rf,0.6238095238095238,0.5333333333333333,0.6592592592592593,0.7833333333333332,0.5809523809523809,0.6666666666666667
boxing,pandas,0.6214285714285714,0.5238095238095238,0.6296296296296295,0.7761904761904763,0.5333333333333333,0.6296296296296297
boxing,tfdv,0.6238095238095238,0.5333333333333333,0.6592592592592593,0.7833333333333332,0.5809523809523809,0.6666666666666667
boxing,autogluon,0.6238095238095238,0.5333333333333333,0.6592592592592593,0.7833333333333332,0.5809523809523809,0.6666666666666667
flags,truth,0.8048387096774194,0.6967741935483872,0.7487179487179487,0.9080645161290322,0.6516129032258065,0.7230769230769231
