name,model,linear_train,linear_test,linear_holdout,rf_train,rf_test,rf_holdout
boxing,truth,0.8142857142857143,0.7714285714285714,0.874074074074074,0.830952380952381,0.7428571428571429,0.7777777777777777
boxing,rf,0.6238095238095238,0.5333333333333333,0.6592592592592593,0.7833333333333332,0.5809523809523809,0.6666666666666667
boxing,pandas,0.6214285714285714,0.5238095238095238,0.6296296296296295,0.7761904761904763,0.5333333333333333,0.6296296296296297
boxing,tfdv,0.6238095238095238,0.5333333333333333,0.6592592592592593,0.7833333333333332,0.5809523809523809,0.6666666666666667
flags,truth,0.8048387096774194,0.6967741935483872,0.7487179487179487,0.9080645161290322,0.6516129032258065,0.7230769230769231
flags,rf,0.6903225806451613,0.6322580645161289,0.6205128205128205,0.932258064516129,0.7161290322580646,0.7282051282051283
flags,pandas,0.6838709677419355,0.6387096774193548,0.6256410256410256,0.9096774193548386,0.6967741935483871,0.7692307692307693
flags,tfdv,0.6790322580645161,0.6451612903225807,0.6153846153846154,0.9096774193548388,0.6774193548387097,0.7435897435897436
diggle,truth,0.9909293944469824,0.9879183673469388,1.0,0.9979848738642708,1.0,1.0
diggle,rf,0.9919445713415562,0.9879183673469388,1.0,0.9969747728541698,0.9919183673469387,1.0
diggle,pandas,0.9919445713415562,0.9879183673469388,1.0,0.9969747728541698,0.9919183673469387,1.0
diggle,tfdv,0.9919445713415562,0.9879183673469388,1.0,0.9969747728541698,0.9919183673469387,1.0
heart,truth,0.8688317931734415,0.8429421768707483,0.8426229508196721,0.943160087602158,0.8142006802721088,0.862295081967213
heart,rf,0.8688317931734415,0.8429421768707483,0.8426229508196721,0.943160087602158,0.8142006802721088,0.862295081967213
heart,pandas,0.8481758453074087,0.8350340136054422,0.8393442622950819,0.958698787457935,0.8391156462585034,0.8491803278688523
heart,tfdv,0.843021206132151,0.818452380952381,0.8327868852459016,0.9442230650072112,0.8182823129251702,0.8327868852459016
sleuth,truth,0.6918181818181818,0.5956043956043956,0.7222222222222221,0.9492207792207792,0.6681318681318681,0.7666666666666667
sleuth,rf,0.6918181818181818,0.5956043956043956,0.7222222222222221,0.9492207792207792,0.6681318681318681,0.7666666666666667
sleuth,pandas,0.6846753246753247,0.6241758241758243,0.711111111111111,0.9457792207792208,0.7263736263736263,0.7666666666666667
sleuth,tfdv,0.6846753246753247,0.6241758241758243,0.711111111111111,0.9457792207792208,0.7263736263736263,0.7666666666666667
apnea2,truth,0.975,0.9447368421052632,0.9199999999999999,0.9697368421052632,0.9394736842105263,0.9010526315789473
apnea2,rf,0.9532894736842106,0.9421052631578947,0.9115789473684212,0.9532894736842105,0.9526315789473685,0.9115789473684209
apnea2,pandas,0.9526315789473685,0.9421052631578947,0.9178947368421053,0.9611842105263158,0.9236842105263158,0.8863157894736842
apnea2,tfdv,0.9572368421052632,0.95,0.9199999999999999,0.9565789473684211,0.9342105263157896,0.8926315789473683
auto-mpg,truth,0.9920127490039841,0.9520225294418841,0.9772151898734178,0.990406374501992,0.961699948796723,0.9417721518987341
auto-mpg,rf,0.79637609561753,0.7572964669738862,0.8075949367088608,0.9345370517928286,0.7701484895033281,0.7620253164556962
auto-mpg,pandas,0.991209561752988,0.9551971326164874,0.9822784810126584,0.990406374501992,0.9521761392729136,0.9544303797468354
auto-mpg,tfdv,0.9528764940239043,0.8148489503328212,0.8379746835443038,0.9449115537848606,0.7795186891961086,0.7620253164556962
