name,model,linear_train,linear_test,linear_holdout,rf_train,rf_test,rf_holdout
cancer,truth,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,rf,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,pandas,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,tfdv,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
cancer,autogluon,0.7880414661236579,0.695906432748538,0.5999999999999999,0.9345797852647169,0.7181286549707602,0.6666666666666667
mfeat,truth,0.9920312500000001,0.971875,0.9615,0.99125,0.9556250000000001,0.9410000000000001
mfeat,rf,0.9920312500000001,0.971875,0.9615,0.99125,0.9556250000000001,0.9410000000000001
mfeat,pandas,0.9920312500000001,0.971875,0.9615,0.99125,0.9556250000000001,0.9410000000000001
mfeat,tfdv,0.9920312500000001,0.971875,0.9615,0.99125,0.9556250000000001,0.9410000000000001
mfeat,autogluon,0.9920312500000001,0.971875,0.9615,0.99125,0.9556250000000001,0.9410000000000001
